Company,Location,Latitude,Longitude,Count
Amazon,"Aberdeen, MD",39.5095556,-76.1641197,1
Amazon,"Akron, OH",41.083064,-81.518485,3
Amazon,"Albuquerque, NM",35.0841034,-106.6509851,2
Amazon,"Allentown, PA",40.6022059,-75.4712794,20
Amazon,"Arlington, VA",38.8903961,-77.0841585,8
Amazon,"Ashburn, VA",39.0437192,-77.4874899,9
Amazon,"Atlanta, GA",33.7490987,-84.3901849,16
Amazon,"Aurora, CO",39.729432,-104.8319196,5
Amazon,"Austin, TX",30.2711286,-97.7436995,22
Amazon,"Avenel, NJ",40.5803818,-74.2851469,3
Amazon,"Baltimore, MD",39.2908816,-76.610759,38
Amazon,"Baton Rouge, LA",30.4459596,-91.18738,2
Amazon,"Bellevue, WA",47.6144219,-122.1923372,48
Amazon,"Berkeley, CA",37.8708393,-122.2728639,3
Amazon,"Bethpage, NY",40.7442664,-73.4820687,4
Amazon,"Boardman, OR",45.839855,-119.7005834,6
Amazon,"Boston, MA",42.3602534,-71.0582912,22
Amazon,"Breinigsville, PA",40.5484841,-75.6227821,5
Amazon,"Bronx, NY",40.8504855,-73.8404036,1
Amazon,"Brooklyn, NY",40.6501038,-73.9495823,8
Amazon,"Brownstown, MI",42.131522,-83.247522,15
Amazon,"Buffalo, NY",42.8867166,-78.8783922,6
Amazon,"Cambridge, MA",42.3750997,-71.1056157,13
Amazon,"Campbellsvlle, KY",37.3433974,-85.3419069,3
Amazon,"Carlisle, PA",40.201499,-77.1890783,13
Amazon,"Carteret, NJ",40.5773266,-74.2282005,5
Amazon,"Charleston, TN",35.4959148,-89.5089638,22
Amazon,"Charlotte, NC",35.2270869,-80.8431268,32
Amazon,"Chattanooga, TN",35.0456297,-85.3096801,15
Amazon,"Chester, VA",37.3569086,-77.4421818,3
Amazon,"Chicago, IL",41.8755616,-87.6244212,47
Amazon,"Cincinnati, OH",39.1014537,-84.5124602,23
Amazon,"Cleveland, OH",41.5051613,-81.6934446,12
Amazon,"Columbia, SC",34.0007493,-81.0343313,16
Amazon,"Concord, NC",35.4093772,-80.5797416,3
Amazon,"Coppell, TX",32.9552598,-97.0155703,8
Amazon,"Crest Hill, IL",41.554753,-88.0986709,2
Amazon,"Cupertino, CA",37.3228934,-122.0322895,68
Amazon,"Dallas, TX",32.7762719,-96.7968559,30
Amazon,"Davenport, FL",28.1614046,-81.6017417,16
Amazon,"Denver, CO",39.7392364,-104.9848623,28
Amazon,"Detroit, MI",42.3315509,-83.0466403,13
Amazon,"DuPont, WA",47.0990689,-122.6375463,1
Amazon,"Irving, TX",32.8295183,-96.9442177,34
Amazon,"Jacksonville, FL",30.3321838,-81.655651,3
Amazon,"Jeffersonville, IN",38.2770227,-85.7371604,6
Amazon,"Joliet, IL",41.5263603,-88.0840212,7
Amazon,"Kansas City, KS",39.1134562,-94.626497,22
Amazon,"Kent, WA",47.3826903,-122.2270272,25
Amazon,"Kirkland, WA",47.6859573,-122.1920249,89
Amazon,"Las Vegas, NV",36.1672559,-115.1485163,48
Amazon,"Lebanon, TN",36.2079779,-86.2910945,12
Amazon,"Lenexa, KS",38.9697458,-94.7845837,26
Amazon,"Lexington-Fayette, KY",38.0464066,-84.4970393,23
Amazon,"Los Angeles, CA",34.0536909,-118.2427666,566
Amazon,"Louisville, KY",38.2542376,-85.759407,14
Amazon,"Miami, FL",25.7742658,-80.1936589,108
Amazon,"Middletown, DE",39.4496857,-75.7166811,8
Amazon,"Minneapolis, MN",44.9772995,-93.2654692,203
Amazon,"Monee, IL",41.420034,-87.7417115,2
Amazon,"Nashville, TN",36.1622296,-86.7743531,4
Amazon,"New York, NY",40.7127281,-74.0060152,289
Amazon,"Newark, CA",37.5296593,-122.0402399,12
Amazon,"Newark, DE",37.5296593,-122.0402399,1
Amazon,"Newark, NJ",37.5296593,-122.0402399,87
Amazon,"Palo Alto, CA",37.4443293,-122.1598465,876
Amazon,"Philadelphia, PA",39.9527237,-75.1635262,145
Amazon,"Phoenix, AZ",33.4484367,-112.0741417,76
Amazon,"Pittsburgh, PA",40.4416941,-79.9900861,123
Amazon,"San Diego, CA",32.7174209,-117.1627714,766
Amazon,"San Francisco, CA",37.7790262,-122.4199061,567
Amazon,"San Jose, CA",37.3361905,-121.8905833,1090
Amazon,"San Marcos, TX",29.8826436,-97.9405828,1
Amazon,"Santa Clara, CA",37.3541132,-121.9551744,34
Amazon,"Santa Monica, CA",34.0250724,-118.4965129,68
Amazon,"Seattle, WA",47.6038321,-122.3300624,5880
Amazon,"Shepherdsville, KY",37.9885936,-85.7158246,13
Amazon,"Spartanburg, SC",34.9498007,-81.9320157,42
Amazon,"Sunnyvale, CA",37.3688301,-122.0363496,654
Amazon,"Tampa, FL",27.9477595,-82.458444,159
Amazon,"Tempe, AZ",33.4255056,-111.9400125,23
Amazon,"Tracy, CA",37.7396513,-121.4252227,240
Amazon,"Washington, DC",38.8948932,-77.0365529,56
Amazon,"West Columbia, SC",33.9934867,-81.0739826,143
Amazon,"Whitestown, IN",39.9972626,-86.3458296,12
Apple,"Akron, OH",41.083064,-81.518485,23
Apple,"Albany, NY",42.6511674,-73.754968,256
Apple,"Albuquerque, NM",35.0841034,-106.6509851,134
Apple,"Allentown, PA",40.6022059,-75.4712794,43
Apple,"Alpharetta, GA",34.0709576,-84.2747329,4
Apple,"Ann Arbor, MI",42.2681569,-83.7312291,9
Apple,"Arlington, VA",38.8903961,-77.0841585,123
Apple,"Atlanta, GA",33.7490987,-84.3901849,349
